"","score","text"
"1",0,"<U+306B><U+3058><U+307E><U+306A><U+3044><U+30DC><U+30FC><U+30EB><U+30DA><U+30F3>×2
<U+30B3><U+30F3><U+30D1><U+30AF><U+30C8><U+306A><U+30CF><U+30B5><U+30DF>
<U+97F3><U+8CEA><U+306E><U+826F><U+3044><U+30A4><U+30E4><U+30DB><U+30F3>
<U+304A><U+3057><U+3083><U+308C><U+306A><U+5973><U+5B50><U+5927><U+751F><U+611F><U+6EA2><U+308C><U+308B><U+7B46><U+7BB1>
<U+304A><U+3057><U+3083><U+308C><U+306A>(ryA4<U+5BFE><U+5FDC><U+30D0><U+30C3><U+30B0>
<U+304A><U+3057><U+3083>(ry<U+30C1><U+30E3><U+30C3><U+30AF><U+3058><U+3083><U+306A><U+3044><U+9577><U+8CA1><U+5E03>
<U+304A>(ry<U+30DD><U+30FC><U+30C1>
<U+30AD><U+30E3><U+30EA><U+30FC><U+30D0><U+30C3><U+30B0>
iPhone7"
"2",0,"IPhone7/7Plus<U+5927><U+597D><U+8A55><U+767A><U+58F2><U+4E2D>!!
<U+21D3><U+5F53><U+5E97><U+3067><U+53D7><U+3051><U+53D6><U+308A><U+305F><U+3044><U+65B9><U+306F><U+3053><U+3061><U+3089><U+304B><U+3089><U+3054><U+4E88><U+7D04><U+3092><U+2606><U+21D3>
https://t.co/rrzRsmoPwS"
"3",0,"RT @i3bodM: <U+0627><U+0644><U+0633><U+062D><U+0628> <U+0639><U+0644><U+0649> iphone7 Plus 128GB <ed><U+00A0><U+00BD><ed><U+00B3><U+00B1>
*<U+0627><U+0644><U+0634><U+0631><U+0648><U+0637> :
- <U+0631><U+064A><U+062A><U+0648><U+064A><U+062A>
- <U+062A><U+0627><U+0628><U+0639> @i3bodM , @i3bodHD 
* <U+0627><U+0644><U+0633><U+062D><U+0628> <U+0628><U+0639><U+062F> <U+0627><U+0633><U+0628><U+0648><U+0639> .
* <U+0641><U+0627><U+0644><U+0643><U+0645> <U+0627><U+0644><U+062A><U+0648><U+0641><U+064A><U+0642> <ed><U+00A0><U+00BC><ed><U+00BC><U+00B9> https://t.co…"
"4",0,"<U+305D><U+3044><U+3048><U+3070>iPhone7<U+5C4A><U+3044><U+305F>(<U+FF65><U+2200><U+FF65>)
<U+3045><U+3093><U+3002><U+666E><U+901A><U+3002>"
"5",0,"RT @okidoki1024: iPhone7  7<U+53F0><U+3042><U+308A><U+307E><U+3059>

<U+4ECA><U+56DE><U+306F>3<U+53F0><U+7121><U+6599><U+30D7><U+30EC><U+30BC><U+30F3><U+30C8><U+3057><U+307E><U+3059>

<U+6B32><U+3057><U+3044><U+65B9>RT_<U+30D5><U+30A9><U+30ED><U+30FC> 

<U+62BD><U+9078><U+3067>DM<U+9001><U+3089><U+305B><U+3066><U+9802><U+304D><U+307E><U+3059>

#<U+6B32><U+3057><U+3044><U+4EBA>

#iPhone7 https://t.co/NDLgunZrXz"
"6",0,"RT @whereswingnut: No @Apple I want it now! #iPhone7 #hurryup #Apple https://t.co/AcAcRYmQSI"
"7",0,"RT @_ALABDULLATIF_: <U+0628><U+0645><U+0646><U+0627><U+0633><U+0628><U+0629> <U+0627><U+0644><U+064A><U+0648><U+0645> <U+0627><U+0644><U+0648><U+0637><U+0646><U+064A> <ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00B7><U+00A6>
#<U+0627><U+0631><U+0628><U+062D>_iphone7_<U+0645><U+0639>_<U+0627><U+0644><U+0639><U+0628><U+062F><U+0627><U+0644><U+0644><U+0637><U+064A><U+0641>

<U+0645><U+062A><U+0649> <U+062A><U+0645> <U+062A><U+0648><U+062D><U+064A><U+062F> <U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629><U+061F>
<U+278A> <U+0645><U+062A><U+0627><U+0628><U+0639><U+0629>
<U+278B> <U+0631><U+062A><U+0648><U+064A><U+062A>
<U+278C> <U+0627><U+0644><U+0625><U+062C><U+0627><U+0628><U+0629>…"
"8",0,"iPhone7<U+3092><U+3044><U+3061><U+65E9><U+304F><U+624B><U+306B><U+5165><U+308C><U+305F><U+5148><U+8F29>.apk (21:52) #sm29661882 https://t.co/EZrC9Q9BIg"
"9",0,"@yuricurry guess who gave me her iphone7 cause she decided she wanted the plus now <ed><U+00A0><U+00BD><ed><U+00B8><U+0091><ed><U+00A0><U+00BD><ed><U+00B8><U+0091><ed><U+00A0><U+00BD><ed><U+00B9><U+0084>"
"10",0,"<U+65B0><U+3057><U+3044><U+58C1><U+7D19><U+3092><U+8FFD><U+52A0><U+3057><U+307E><U+3057><U+305F>! <U+30B0><U+30E9><U+30F3><U+30D6><U+30EB><U+30FC><U+30D5><U+30A1><U+30F3><U+30BF><U+30B8><U+30FC><U+3010><U+30A2><U+30EB><U+30EB><U+30E1><U+30A4><U+30E4><U+3011>iPhone7(750×1334) https://t.co/VSIv4gQZeh"
"11",0,"RT @o2441: iphone7<U+306E><U+30B7><U+30E3><U+30C3><U+30BF><U+30FC><U+97F3><U+304C><U+7206><U+97F3><U+3066><U+307B><U+3093><U+3068><U+FF1F> — <U+307E><U+3060><U+898B><U+3066><U+306A><U+3044><U+304B><U+3089><U+77E5><U+3089><U+306A><U+3044><U+3002><U+3042><U+3093><U+307E><U+308A><U+8208><U+5473><U+3082><U+306A><U+3044><U+3088><U+3002> https://t.co/JGIkmq7JY8"
"12",0,"<U+7DCA><U+6025><U+4F01><U+753B>!
#SoftBank #iPhone7
<U+6A5F><U+7A2E><U+5909><U+66F4>·<U+65B0><U+898F>·MNP
<U+306A><U+3093><U+3067><U+3082>OK
<U+30B4><U+30FC><U+30EB><U+30C9>·<U+30B7><U+30EB><U+30D0><U+30FC> 
<U+30ED><U+30FC><U+30BA><U+30B4><U+30FC><U+30EB><U+30C9><U+3092>
<U+5F53><U+5E97><U+3067><U+3054><U+8CFC><U+5165><U+306A><U+3089>10000<U+5186>
<U+30AD><U+30E3><U+30C3><U+30B7><U+30E5><U+30D0><U+30C3><U+30AF><U+3067><U+304D><U+307E><U+3059>!
<U+53F0><U+6570><U+306F><U+9650><U+5B9A><U+3068><U+306A><U+308A><U+307E><U+3059>!
<U+65E9><U+3044><U+8005><U+52DD><U+3061><U+3067><U+3059>!<U+662F><U+975E><U+3054><U+9023><U+7D61><U+304F><U+3060><U+3055><U+3044>
TEL03-5726-5757"
"13",0,"<U+65B0><U+3057><U+3044><U+58C1><U+7D19><U+3092><U+8FFD><U+52A0><U+3057><U+307E><U+3057><U+305F>! <U+30B0><U+30E9><U+30F3><U+30D6><U+30EB><U+30FC><U+30D5><U+30A1><U+30F3><U+30BF><U+30B8><U+30FC><U+3010><U+30E1><U+30EB><U+30A5><U+3011>iPhone7(750×1334) https://t.co/kEDIH1Pmeu"
"14",0,"<U+0412><U+0441><U+0435> <U+0434><U+0443><U+043C><U+0430><U+044E><U+0442>, <U+043A><U+0430><U+043A> <U+0431><U+044B> <U+0432><U+044B><U+0446><U+0435><U+043F><U+0438><U+0442><U+044C> iphone7, <U+0430> <U+044F> <U+0441><U+043C><U+043E><U+0442><U+0440><U+044E> <U+043D><U+0430> <U+0441><U+0432><U+043E><U+0439> 4s  <U+0438> <U+043F><U+043B><U+0430><U+0447><U+0443> <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>"
"15",0,"@erichtechtalk dopeeee can't wait #iPhone7 #sweet"
"16",0,"iPhone7<U+5FEB><U+9069><U+3059><U+304E>"
